source,target,score
ACHE,EGFR,0.506
ACHE,IL10,0.421
ACHE,DRD2,0.427
ACHE,CHRNA2,0.462
ACHE,CAV1,0.466
ACHE,PTGS2,0.508
ACHE,GSK3B,0.517
ACHE,IL6,0.555
ACHE,MAOA,0.761
ACHE,MAOB,0.91
ADCY2,TP53,0.447
ADCY2,ADRA2A,0.539
ADCY2,ADRA2B,0.505
ADCY2,ADRA2C,0.565
ADCY2,PRKCA,0.713
ADRA1A,SLC6A2,0.533
ADRA1A,SLC6A4,0.439
ADRA1A,ADRA2A,0.5
ADRA1A,ADRB2,0.517
ADRA1A,ADRA1B,0.957
ADRA1A,MAOA,0.41
ADRA1A,ADRA1D,0.909
ADRA1A,DRD1,0.436
ADRA1A,ADRA2B,0.454
ADRA1B,DRD4,0.447
ADRA1B,SLC6A2,0.567
ADRA1B,SLC6A4,0.525
ADRA1B,ADRA2B,0.42
ADRA1B,HTR3A,0.435
ADRA1B,ADRB1,0.449
ADRA1B,ADRA2C,0.515
ADRA1B,ADRA1D,0.949
ADRA1D,DRD4,0.452
ADRA1D,SLC6A2,0.53
ADRA1D,SLC6A4,0.45
ADRA1D,ADRA2A,0.523
ADRA1D,HTR3A,0.41
ADRA1D,DRD2,0.481
ADRA1D,DRD1,0.448
ADRA1D,ADRA2C,0.461
ADRA1D,ADRA2B,0.514
ADRA2A,SLC6A2,0.802
ADRA2A,NR3C1,0.473
ADRA2A,SLC6A4,0.716
ADRA2A,DRD1,0.432
ADRA2A,MAOB,0.433
ADRA2A,HTR3A,0.468
ADRA2A,PTGS1,0.519
ADRA2A,PRKCA,0.535
ADRA2A,MAOA,0.619
ADRA2A,ADRA2B,0.658
ADRA2A,OPRM1,0.672
ADRA2A,ADRA2C,0.781
ADRA2B,SLC6A2,0.606
ADRA2B,SLC6A4,0.599
ADRA2B,PTGS1,0.494
ADRA2B,DRD2,0.451
ADRA2B,DRD1,0.43
ADRA2B,ADRA2C,0.496
ADRA2B,PRKCA,0.533
ADRA2C,SLC6A2,0.718
ADRA2C,OPRD1,0.425
ADRA2C,SLC6A4,0.656
ADRA2C,ADRB2,0.575
ADRA2C,PTGS1,0.493
ADRA2C,DRD2,0.492
ADRA2C,PTGS2,0.448
ADRA2C,PRKCA,0.542
ADRB1,DRD4,0.672
ADRB1,SLC6A2,0.467
ADRB1,ADRB2,0.956
ADRB1,MAOA,0.401
ADRB1,HTR3A,0.409
ADRB1,ESR1,0.504
ADRB2,DRD4,0.477
ADRB2,SLC6A2,0.471
ADRB2,NR3C1,0.727
ADRB2,OPRD1,0.501
ADRB2,SLC6A4,0.469
ADRB2,CDK2,0.438
ADRB2,TP53,0.532
ADRB2,EGFR,0.625
ADRB2,MAOA,0.402
ADRB2,IL10,0.421
ADRB2,PTGS2,0.452
ADRB2,DRD3,0.483
ADRB2,IL6,0.52
ADRB2,OPRM1,0.743
ALDH5A1,MAOA,0.443
ALDH5A1,MAOB,0.453
ALDH5A1,ME2,0.471
BCHE,MPO,0.545
BCHE,CRP,0.739
BCHE,CHRNA2,0.408
BCHE,PTGS2,0.411
BCHE,GSK3B,0.443
BCHE,IL6,0.657
BCHE,MAOA,0.762
BCHE,MAOB,0.809
CAV1,NR3C1,0.656
CAV1,TP53,0.574
CAV1,EGFR,0.999
CAV1,GSK3B,0.781
CAV1,SCN5A,0.707
CAV1,MTOR,0.422
CAV1,NOS1,0.641
CAV1,IL6,0.714
CAV1,PTGS2,0.826
CAV1,PRKCA,0.877
CAV1,ESR2,0.971
CAV1,ESR1,0.998
CDC25B,MAPK14,0.951
CDC25B,ESR1,0.447
CDC25B,TP53,0.516
CDC25B,CDK4,0.77
CDC25B,CDK2,0.994
CDK2,MAPK14,0.543
CDK2,CDK4,0.998
CDK2,DRD2,0.426
CDK2,NUF2,0.43
CDK2,IL6,0.473
CDK2,EGFR,0.566
CDK2,MTOR,0.585
CDK2,PTGS2,0.598
CDK2,ESR1,0.714
CDK2,GSK3B,0.77
CDK2,PGR,0.822
CDK2,TP53,0.987
CDK4,MAPK14,0.501
CDK4,NR3C1,0.581
CDK4,PTGS2,0.418
CDK4,IL6,0.506
CDK4,PGR,0.578
CDK4,MTOR,0.644
CDK4,ESR1,0.718
CDK4,GSK3B,0.805
CDK4,TP53,0.966
CHRNA2,SLC6A4,0.506
CHRNA2,DRD2,0.583
CHRNA2,DRD1,0.532
CRP,MPO,0.817
CRP,IL2,0.778
CRP,NR3C1,0.476
CRP,ESR1,0.401
CRP,EGFR,0.416
CRP,MTOR,0.418
CRP,COL18A1,0.429
CRP,TP53,0.435
CRP,PTGS2,0.596
CRP,MMP3,0.631
CRP,IL10,0.878
CRP,IL6,0.968
DRD1,SLC6A2,0.514
DRD1,SLC6A4,0.763
DRD1,GABRA6,0.436
DRD1,GSK3B,0.518
DRD1,MAOA,0.628
DRD1,ESR2,0.409
DRD1,HTR3A,0.445
DRD1,DRD2,0.63
DRD1,MAOB,0.59
DRD1,DRD3,0.801
DRD1,OPRM1,0.592
DRD2,DRD4,0.816
DRD2,SLC6A2,0.632
DRD2,NR3C1,0.496
DRD2,SLC6A4,0.91
DRD2,GABRA6,0.402
DRD2,EGFR,0.508
DRD2,GSK3B,0.458
DRD2,MAOA,0.736
DRD2,HTR3A,0.627
DRD2,DRD3,0.451
DRD2,OPRM1,0.556
DRD2,ESR1,0.593
DRD2,MAOB,0.647
DRD3,DRD4,0.943
DRD3,SLC6A2,0.521
DRD3,SLC6A4,0.787
DRD3,MAOA,0.64
DRD3,HTR3A,0.518
DRD3,MAOB,0.691
DRD4,NR3C1,0.434
DRD4,HTR3A,0.509
DRD4,SLC6A2,0.645
DRD4,MAOB,0.785
DRD4,MAOA,0.892
DRD4,SLC6A4,0.978
EGFR,IL2,0.851
EGFR,MAPK14,0.799
EGFR,NR3C1,0.87
EGFR,TP53,0.943
EGFR,NUF2,0.487
EGFR,PTGS1,0.406
EGFR,FOSL1,0.481
EGFR,OPRM1,0.494
EGFR,GSK3B,0.574
EGFR,COL18A1,0.64
EGFR,MMP3,0.737
EGFR,ESR2,0.755
EGFR,MTOR,0.802
EGFR,PGR,0.83
EGFR,PTGS2,0.836
EGFR,IL10,0.899
EGFR,PRKCA,0.932
EGFR,IL6,0.979
EGFR,ESR1,0.988
ESR1,MPO,0.5
ESR1,IL2,0.433
ESR1,MAPK14,0.954
ESR1,NR3C1,0.896
ESR1,SLC6A4,0.404
ESR1,TP53,0.992
ESR1,MMP3,0.409
ESR1,FOSL1,0.409
ESR1,GSK3B,0.629
ESR1,PGR,0.974
ESR1,SCN5A,0.41
ESR1,MAOA,0.401
ESR1,ESR2,0.998
ESR1,MTOR,0.745
ESR1,PTGS1,0.453
ESR1,PTGS2,0.674
ESR1,IL6,0.792
ESR1,OPRM1,0.618
ESR1,PRKCA,0.433
ESR1,IL10,0.53
ESR2,SLC6A2,0.44
ESR2,MAPK14,0.921
ESR2,TP53,0.783
ESR2,GSK3B,0.648
ESR2,PGR,0.471
ESR2,IL10,0.402
ESR2,PTGS2,0.53
ESR2,IL6,0.554
FOSL1,MAPK14,0.816
FOSL1,TP53,0.499
FOSL1,PTGS1,0.442
FOSL1,PTGS2,0.455
FOSL1,IL6,0.533
GABRA6,OPRD1,0.507
GABRA6,SLC6A4,0.598
GSK3B,MAPK14,0.626
GSK3B,NR3C1,0.411
GSK3B,TP53,0.992
GSK3B,MAOA,0.416
GSK3B,MAOB,0.439
GSK3B,IL10,0.526
GSK3B,PTGS2,0.573
GSK3B,PRKCA,0.637
GSK3B,IL6,0.682
GSK3B,MTOR,0.784
HTR3A,SLC6A4,0.726
HTR3A,MAOA,0.554
HTR3A,OPRM1,0.459
HTR3A,MAOB,0.464
IL10,MPO,0.771
IL10,IL2,0.964
IL10,MAPK14,0.602
IL10,NR3C1,0.635
IL10,TP53,0.756
IL10,MMP3,0.837
IL10,MTOR,0.74
IL10,PTGS1,0.44
IL10,PTGS2,0.789
IL10,IL6,0.997
IL10,NOS1,0.406
IL2,MPO,0.514
IL2,MAPK14,0.436
IL2,MMP3,0.471
IL2,OPRM1,0.562
IL2,PTGS2,0.607
IL2,MTOR,0.612
IL2,NR3C1,0.622
IL2,TP53,0.741
IL2,IL6,0.999
IL6,MPO,0.872
IL6,MAPK14,0.848
IL6,NR3C1,0.63
IL6,SLC6A4,0.445
IL6,TP53,0.777
IL6,MMP3,0.887
IL6,PGR,0.483
IL6,MAOA,0.473
IL6,COL18A1,0.419
IL6,MTOR,0.772
IL6,PTGS1,0.708
IL6,PTGS2,0.96
IL6,MAOB,0.451
IL6,OPRM1,0.4
IL6,PRKCA,0.466
IL6,NOS1,0.698
MAOA,SLC6A2,0.738
MAOA,NR3C1,0.555
MAOA,SLC6A4,0.942
MAOA,PTGS2,0.466
MAOA,OPRM1,0.513
MAOA,MAOB,0.965
MAOB,SLC6A2,0.685
MAOB,NR3C1,0.409
MAOB,SLC6A4,0.868
MAOB,PTGS2,0.496
MAPK14,PRKCA,0.517
MAPK14,PTGS1,0.522
MAPK14,MTOR,0.554
MAPK14,NR3C1,0.582
MAPK14,PTGS2,0.774
MAPK14,PGR,0.92
MAPK14,TP53,0.994
ME2,OPRM1,0.634
MMP3,MPO,0.616
MMP3,TP53,0.507
MMP3,PTGS2,0.673
MMP3,COL18A1,0.767
MMP3,PRKCA,0.801
MPO,NOS1,0.436
MPO,TP53,0.46
MPO,PTGS2,0.641
MTOR,TP53,0.874
MTOR,PGR,0.488
MTOR,PTGS2,0.575
MTOR,PRKCA,0.969
NOS1,PTGS2,0.515
NR3C1,PTGS1,0.556
NR3C1,OPRM1,0.571
NR3C1,PTGS2,0.675
NR3C1,SLC6A4,0.696
NR3C1,PGR,0.733
NR3C1,TP53,0.936
OPRD1,PTGS2,0.467
OPRD1,SLC6A4,0.515
OPRD1,OPRM1,0.967
OPRM1,SLC6A2,0.52
OPRM1,SLC6A4,0.695
OPRM1,PRKCA,0.485
PGR,TP53,0.849
PGR,PTGS1,0.474
PGR,PRKCA,0.547
PGR,PTGS2,0.587
PRKCA,TP53,0.7
PRKCA,PTGS1,0.468
PRKCA,PTGS2,0.626
PTGS1,PTGS2,0.946
PTGS2,SLC6A2,0.463
PTGS2,TP53,0.974
RUNX1T1,TP53,0.423
