molecule_ID,MOL_ID,molecule_name,target_name,target_ID,drugbank_ID,validated,SVM_score,RF_score
117,MOL000117,Cymol,Sodium-dependent noradrenaline transporter,186,540,,0.81925,0.72
117,MOL000117,Cymol,Lysozyme,1172,2300,,0.825,0.778
126,MOL000126,(-)-nopinene,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,,0.97804,0.7
126,MOL000126,(-)-nopinene,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,,0.93932,0.7
126,MOL000126,(-)-nopinene,Cytochrome P450-cam,1143,2298,,0.92736,0.814
126,MOL000126,(-)-nopinene,Prostaglandin G/H synthase 1,6,20,,0.913683,0.702
126,MOL000126,(-)-nopinene,Muscarinic acetylcholine receptor M3,16,51,,0.951598,0.72
126,MOL000126,(-)-nopinene,Muscarinic acetylcholine receptor M1,38,103,,0.939506,0.714
126,MOL000126,(-)-nopinene,Prostaglandin G/H synthase 2,94,290,,0.948739,0.734
126,MOL000126,(-)-nopinene,Retinoic acid receptor RXR-alpha,158,459,,0.923732,0.714
126,MOL000126,(-)-nopinene,Sodium-dependent noradrenaline transporter,186,540,,0.94071,0.7
126,MOL000126,(-)-nopinene,Gamma-aminobutyric-acid receptor alpha-3 subunit,200,580,,0.96585,0.724
126,MOL000126,(-)-nopinene,Muscarinic acetylcholine receptor M2,210,617,,0.938205,0.72
126,MOL000126,(-)-nopinene,Alpha-1B adrenergic receptor,216,632,,0.89441,0.71
126,MOL000126,(-)-nopinene,Nuclear receptor coactivator 2,3276,6241,,0.859167,0.72
126,MOL000126,(-)-nopinene,Gamma-aminobutyric-acid receptor subunit alpha-6,3284,841,,0.95746,0.724
126,MOL000126,(-)-nopinene,Alpha-2C adrenergic receptor,126,378,,0.816124,0.702
126,MOL000126,(-)-nopinene,Alpha-1A adrenergic receptor,191,556,,0.873835,0.716
126,MOL000126,(-)-nopinene,Sodium-dependent dopamine transporter,239,713,,0.889508,0.71
126,MOL000126,(-)-nopinene,Amine oxidase [flavin-containing] A,566,3941,,0.842178,0.712
126,MOL000126,(-)-nopinene,Lysozyme,1172,2300,,0.8239,0.756
126,MOL000126,(-)-nopinene,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523,,0.930333,0.702
126,MOL000126,(-)-nopinene,Neuronal acetylcholine receptor subunit alpha-2,284,813,,0.87381,0.702
1308,MOL001308,oleic acid,Prostaglandin G/H synthase 1,6,20,,0.877101,0.746
1308,MOL001308,oleic acid,Prostaglandin G/H synthase 2,94,290,,0.865337,0.758
1308,MOL001308,oleic acid,Retinoic acid receptor RXR-alpha,158,459,,0.938392,0.718
1308,MOL001308,oleic acid,Nuclear receptor coactivator 2,3276,6241,,0.831033,0.71
1308,MOL001308,oleic acid,Ig gamma-1 chain C region,1201,4785,,0.96671,0.71
1308,MOL001308,oleic acid,Rhodopsin,477,2207,,0.927994,0.7
1308,MOL001308,oleic acid,Muscarinic acetylcholine receptor M3,16,51,,0.939549,0.712
1308,MOL001308,oleic acid,Potassium voltage-gated channel subfamily H member 2,37,101,,0.918196,0.708
1308,MOL001308,oleic acid,Muscarinic acetylcholine receptor M1,38,103,,0.939148,0.706
1308,MOL001308,oleic acid,Sodium channel protein type 5 subunit alpha,70,220,,0.953694,0.73
1308,MOL001308,oleic acid,Coagulation factor Xa,79,239,,0.851772,0.712
1308,MOL001308,oleic acid,Coagulation factor VII,123,369,,0.899165,0.702
1308,MOL001308,oleic acid,Delta-type opioid receptor,163,467,,0.968974,0.71
1308,MOL001308,oleic acid,"CGMP-inhibited 3',5'-cyclic phosphodiesterase A",172,485,,0.938238,0.704
1308,MOL001308,oleic acid,Alpha-1B adrenergic receptor,216,632,,0.899656,0.73
1308,MOL001308,oleic acid,"mRNA of Protein-tyrosine phosphatase, non-receptor type 1",229,687,,0.892311,0.718
1308,MOL001308,oleic acid,Beta-2 adrenergic receptor,261,766,,0.958685,0.724
1308,MOL001308,oleic acid,Alpha-1D adrenergic receptor,272,789,,0.838318,0.718
1308,MOL001308,oleic acid,Heat shock protein HSP 90,444,1939,,0.969505,0.728
1308,MOL001308,oleic acid,Retinoic acid receptor RXR-beta,789,88,,0.867439,0.702
